account_id,customer_id,account_type,currency,balance,created_at,status
ACC0000053,CUST003179,SAVINGS,EUR,486.72,2023-07-04 18:33:16,ACTIVE
ACC0000054,CUST005611,BUSINESS,GBP,2284.75,2024-03-27 07:40:04,ACTIVE
ACC0000055,CUST000540,SAVINGS,EUR,3778.94,2026-02-13 18:47:15,SUSPENDED
ACC0000056,CUST003249,CHECKING,PKR,3352.75,2025-09-12 07:34:10,ACTIVE
ACC0000057,CUST006771,SAVINGS,AUD,400.59,2026-05-07 23:54:42,ACTIVE
ACC0000058,CUST004159,SAVINGS,CAD,756.68,2024-11-13 18:33:23,ACTIVE
ACC0000059,CUST009463,CHECKING,PKR,1631.93,2023-12-09 01:24:33,ACTIVE
ACC0000060,CUST007219,CHECKING,EUR,3535.66,2026-01-31 05:55:25,SUSPENDED
ACC0000061,CUST004566,SAVINGS,PKR,617.08,2021-11-07 10:33:50,ACTIVE
ACC0000062,CUST003960,BUSINESS,EUR,877.62,2022-09-17 17:51:50,ACTIVE
ACC0000063,CUST008847,CHECKING,GBP,290.73,2022-02-01 06:15:01,SUSPENDED
ACC0000064,CUST000533,BUSINESS,SGD,261.01,2024-06-15 02:04:35,ACTIVE
ACC0000065,CUST005327,SAVINGS,EUR,2907.45,2022-08-21 20:51:28,ACTIVE
ACC0000066,CUST002561,SAVINGS,EUR,5583.04,2022-06-09 19:29:55,SUSPENDED
ACC0000067,CUST009012,SAVINGS,EUR,1005.85,2025-12-13 12:13:36,ACTIVE
ACC0000068,CUST009890,CHECKING,EUR,3656.42,2024-01-26 12:25:32,CLOSED
ACC0000069,CUST009908,CHECKING,EUR,1692.5,2022-10-30 11:02:44,ACTIVE
ACC0000070,CUST007570,BUSINESS,CAD,505.66,2024-11-03 00:23:00,ACTIVE
ACC0000071,CUST008082,CHECKING,USD,1692.01,2024-03-28 05:51:08,SUSPENDED
ACC0000072,CUST001426,CHECKING,EUR,6944.07,2022-09-13 16:35:10,SUSPENDED
ACC0000073,CUST001932,SAVINGS,JPY,1050.49,2021-09-09 09:27:01,ACTIVE
ACC0000074,CUST005703,BUSINESS,AUD,7169.37,2022-12-26 03:20:18,ACTIVE
ACC0000075,CUST004891,BUSINESS,GBP,47.29,2022-11-23 09:04:16,ACTIVE
ACC0000076,CUST000975,CHECKING,SGD,2940.35,2022-01-29 08:34:29,ACTIVE
ACC0000077,CUST006878,SAVINGS,EUR,1217.38,2024-10-04 16:57:28,ACTIVE
ACC0000078,CUST005426,CHECKING,USD,766.01,2026-03-13 00:33:55,ACTIVE
ACC0000079,CUST002724,BUSINESS,EUR,1224.29,2023-09-07 23:05:12,CLOSED
ACC0000080,CUST004977,SAVINGS,USD,100.98,2024-05-22 03:05:35,ACTIVE
ACC0000081,CUST009636,SAVINGS,INR,842.52,2026-07-26 15:57:29,ACTIVE
ACC0000082,CUST009608,SAVINGS,INR,1683.34,2024-05-25 06:43:06,ACTIVE
ACC0000083,CUST007417,BUSINESS,INR,6460.57,2025-09-13 22:44:31,ACTIVE
ACC0000084,CUST008285,BUSINESS,EUR,588.79,2026-05-09 01:10:12,ACTIVE
ACC0000085,CUST004938,CHECKING,EUR,415.64,2026-02-06 02:21:13,ACTIVE
ACC0000086,CUST008113,SAVINGS,SGD,600.58,2021-10-31 02:07:54,ACTIVE
ACC0000087,CUST000356,CHECKING,EUR,3289.47,2026-03-08 03:19:47,ACTIVE
ACC0000088,CUST008940,CHECKING,AUD,1627.01,2023-07-20 10:16:05,CLOSED
ACC0000089,CUST001693,BUSINESS,EUR,580.73,2024-08-05 18:00:15,ACTIVE
ACC0000090,CUST009749,CHECKING,AUD,2030.26,2022-10-16 00:07:00,ACTIVE
ACC0000091,CUST003051,CHECKING,EUR,1232.12,2024-11-06 21:42:57,ACTIVE
ACC0000092,CUST004904,CHECKING,SGD,3506.5,2023-02-14 03:15:11,SUSPENDED
ACC0000093,CUST000534,SAVINGS,USD,472.26,2025-06-15 23:42:34,ACTIVE
ACC0000094,CUST008884,BUSINESS,EUR,740.11,2023-09-23 11:37:59,ACTIVE
ACC0000095,CUST009582,CHECKING,EUR,685.04,2026-03-26 17:40:26,ACTIVE
ACC0000096,CUST002571,SAVINGS,EUR,189.39,2023-03-08 09:29:41,ACTIVE
ACC0000097,CUST004052,CHECKING,JPY,1564.54,2025-05-29 09:09:03,ACTIVE
ACC0000098,CUST000108,CHECKING,EUR,1500.07,2025-01-08 04:33:07,ACTIVE
ACC0000099,CUST005858,CHECKING,INR,1103.38,2021-10-14 21:33:54,ACTIVE
ACC0000100,CUST002523,SAVINGS,EUR,827.57,2025-05-12 01:26:47,CLOSED
ACC0000101,CUST005430,SAVINGS,PKR,200.65,2025-07-11 19:35:17,ACTIVE
ACC0000102,CUST001860,BUSINESS,CAD,661.97,2021-12-15 09:16:37,CLOSED
ACC0000103,CUST003707,SAVINGS,EUR,726.87,2025-01-12 20:29:16,ACTIVE
ACC0000104,CUST005384,BUSINESS,EUR,418.75,2022-11-19 16:40:24,CLOSED
ACC0000105,CUST000548,CHECKING,EUR,903.66,2024-10-06 02:10:22,ACTIVE
ACC0000106,CUST009518,BUSINESS,EUR,1780.88,2021-09-08 07:31:05,SUSPENDED
ACC0000107,CUST009180,SAVINGS,INR,10545.17,2022-05-02 14:57:56,CLOSED
ACC0000108,CUST003411,BUSINESS,USD,1352.21,2025-08-28 23:54:49,ACTIVE
ACC0000109,CUST004024,CHECKING,EUR,1493.77,2023-01-28 15:54:51,ACTIVE
ACC0000110,CUST004826,CHECKING,EUR,1002.91,2025-01-29 17:50:42,ACTIVE
ACC0000111,CUST002675,BUSINESS,SGD,109.67,2022-06-27 05:00:06,ACTIVE
ACC0000112,CUST002167,CHECKING,GBP,1062.29,2022-06-14 00:06:31,SUSPENDED
ACC0000113,CUST000437,SAVINGS,JPY,1178.83,2026-03-26 04:23:14,SUSPENDED
ACC0000114,CUST008821,BUSINESS,GBP,21076.01,2022-03-03 10:38:30,ACTIVE
ACC0000115,CUST002007,CHECKING,EUR,870.59,2024-06-03 01:03:27,ACTIVE
ACC0000116,CUST004428,CHECKING,USD,1574.76,2025-05-14 21:58:46,ACTIVE
ACC0000117,CUST009500,CHECKING,EUR,1051.89,2022-02-28 03:30:11,ACTIVE
ACC0000118,CUST005462,BUSINESS,SGD,269.77,2024-11-06 12:37:07,ACTIVE
ACC0000119,CUST005130,BUSINESS,AUD,4321.63,2026-07-10 16:31:12,SUSPENDED
ACC0000120,CUST002194,CHECKING,SGD,2703.55,2023-09-02 08:34:40,ACTIVE
ACC0000121,CUST002338,CHECKING,EUR,2833.42,2023-03-09 20:58:19,ACTIVE
ACC0000122,CUST006578,CHECKING,USD,368.24,2023-09-25 22:25:54,ACTIVE
ACC0000123,CUST007883,SAVINGS,INR,5903.81,2022-10-29 17:38:31,ACTIVE
ACC0000124,CUST009634,SAVINGS,EUR,203.93,2023-04-20 09:09:38,ACTIVE
ACC0000125,CUST002623,CHECKING,USD,2217.71,2025-04-26 07:32:32,ACTIVE
ACC0000126,CUST006291,CHECKING,EUR,15192.34,2025-10-26 16:04:38,SUSPENDED
ACC0000127,CUST004395,BUSINESS,EUR,334.07,2023-09-10 18:32:22,ACTIVE
ACC0000128,CUST009280,CHECKING,EUR,555.82,2025-01-18 12:50:49,ACTIVE
ACC0000129,CUST005602,BUSINESS,EUR,1235.93,2024-07-17 03:40:22,ACTIVE
ACC0000130,CUST009601,CHECKING,EUR,599.34,2023-10-28 12:44:17,ACTIVE
ACC0000131,CUST006481,SAVINGS,PKR,170.58,2022-01-20 17:02:31,ACTIVE
ACC0000132,CUST003754,CHECKING,AUD,1190.67,2022-05-07 02:17:40,ACTIVE
ACC0000133,CUST006102,CHECKING,EUR,306.51,2026-06-09 00:32:49,CLOSED
ACC0000134,CUST006567,CHECKING,PKR,1935.87,2025-09-14 05:55:08,ACTIVE
ACC0000135,CUST004491,SAVINGS,PKR,363.83,2023-06-21 10:30:24,ACTIVE
ACC0000136,CUST002477,BUSINESS,EUR,7043.93,2022-08-31 04:31:31,SUSPENDED
ACC0000137,CUST006532,SAVINGS,EUR,428.42,2022-03-30 02:45:55,ACTIVE
ACC0000138,CUST001686,CHECKING,AUD,745.11,2022-05-31 09:04:17,CLOSED
ACC0000139,CUST000417,BUSINESS,EUR,2910.91,2023-02-05 02:03:22,ACTIVE
ACC0000140,CUST001974,SAVINGS,AUD,250.38,2021-11-03 15:16:06,ACTIVE
ACC0000141,CUST000434,CHECKING,GBP,1440.8,2022-11-08 18:36:54,SUSPENDED
ACC0000142,CUST009718,CHECKING,GBP,5263.6,2025-08-06 15:19:00,CLOSED
ACC0000143,CUST008734,SAVINGS,GBP,159.34,2023-02-01 23:37:52,ACTIVE
ACC0000144,CUST002252,SAVINGS,AED,1368.62,2023-03-01 01:01:36,ACTIVE
ACC0000145,CUST003131,CHECKING,AUD,1497.96,2022-08-13 06:02:22,CLOSED
ACC0000146,CUST001735,CHECKING,EUR,2802.28,2025-01-01 16:31:34,ACTIVE
ACC0000147,CUST003773,SAVINGS,USD,248.55,2023-09-16 13:32:50,ACTIVE
ACC0000148,CUST000163,SAVINGS,PKR,224.85,2022-03-22 09:22:34,ACTIVE
ACC0000149,CUST004439,CHECKING,PKR,2051.51,2025-10-21 05:18:45,CLOSED
ACC0000150,CUST002287,CHECKING,AUD,1566.16,2024-02-29 03:20:30,SUSPENDED
ACC0000151,CUST001722,SAVINGS,AED,1481.18,2022-06-18 07:43:03,ACTIVE
ACC0000152,CUST000809,BUSINESS,SGD,1661.93,2023-07-18 07:46:13,ACTIVE
ACC0000153,CUST007949,BUSINESS,GBP,484.91,2026-04-23 04:09:11,ACTIVE
ACC0000154,CUST002289,SAVINGS,EUR,1449.11,2026-06-27 08:00:58,ACTIVE
ACC0000155,CUST009920,CHECKING,EUR,1558.82,2022-09-27 19:31:10,ACTIVE
ACC0000156,CUST004118,CHECKING,EUR,465.34,2025-06-24 06:19:19,ACTIVE
ACC0000157,CUST001531,BUSINESS,INR,10290.02,2023-09-18 02:02:26,SUSPENDED
ACC0000158,CUST003871,BUSINESS,GBP,1936.43,2023-07-22 04:40:22,ACTIVE
ACC0000159,CUST005265,BUSINESS,EUR,262.55,2024-01-09 19:11:12,SUSPENDED
ACC0000160,CUST001794,BUSINESS,CAD,2411.16,2021-10-13 08:39:56,ACTIVE
ACC0000161,CUST000122,SAVINGS,EUR,340.49,2024-07-02 19:06:52,SUSPENDED
ACC0000162,CUST007916,SAVINGS,GBP,2820.03,2026-03-27 05:26:22,ACTIVE
ACC0000163,CUST007069,SAVINGS,GBP,4404.2,2025-01-03 18:37:13,CLOSED
ACC0000164,CUST006263,BUSINESS,GBP,409.6,2023-09-23 19:48:13,ACTIVE
ACC0000165,CUST003424,CHECKING,JPY,3484.4,2024-05-16 08:17:07,ACTIVE
ACC0000166,CUST009649,BUSINESS,EUR,1799.63,2024-02-14 10:43:04,SUSPENDED
ACC0000167,CUST007046,SAVINGS,EUR,2940.9,2025-05-12 18:26:57,ACTIVE
ACC0000168,CUST005865,BUSINESS,EUR,10680.25,2026-08-18 09:41:36,ACTIVE
ACC0000169,CUST002719,SAVINGS,EUR,816.91,2023-03-23 20:02:26,ACTIVE
ACC0000170,CUST008895,BUSINESS,EUR,443.86,2023-10-09 22:39:36,ACTIVE
ACC0000171,CUST007100,SAVINGS,EUR,377.13,2022-11-01 10:15:33,ACTIVE
ACC0000172,CUST008516,SAVINGS,EUR,412.0,2024-11-28 11:46:11,CLOSED
ACC0000173,CUST008249,SAVINGS,EUR,999.72,2025-04-20 12:04:52,CLOSED
ACC0000174,CUST008640,BUSINESS,EUR,1651.41,2022-10-31 14:12:19,ACTIVE
ACC0000175,CUST008872,CHECKING,EUR,1528.48,2023-11-04 08:33:38,ACTIVE
ACC0000176,CUST007164,BUSINESS,JPY,2959.04,2022-12-11 11:35:38,ACTIVE
ACC0000177,CUST002212,SAVINGS,SGD,1113.88,2026-08-06 01:36:55,ACTIVE
ACC0000178,CUST000295,BUSINESS,EUR,6274.45,2025-04-05 21:49:15,SUSPENDED
ACC0000179,CUST004361,SAVINGS,AUD,798.24,2024-11-07 01:19:36,ACTIVE
ACC0000180,CUST002054,BUSINESS,AED,28687.11,2023-07-19 04:38:57,SUSPENDED
ACC0000181,CUST002758,SAVINGS,INR,2323.43,2021-10-17 20:08:55,ACTIVE
ACC0000182,CUST003551,BUSINESS,INR,392.06,2025-06-18 16:22:07,ACTIVE
ACC0000183,CUST006116,CHECKING,GBP,303.36,2024-01-03 18:32:16,SUSPENDED
ACC0000184,CUST006420,CHECKING,EUR,1956.61,2022-10-08 07:47:54,SUSPENDED
ACC0000185,CUST002606,CHECKING,AED,838.69,2024-12-04 06:22:48,ACTIVE
ACC0000186,CUST005741,CHECKING,EUR,2583.24,2025-04-01 02:11:38,ACTIVE
ACC0000187,CUST008738,CHECKING,EUR,1935.04,2023-05-20 05:56:50,ACTIVE
ACC0000188,CUST006648,CHECKING,JPY,1004.86,2023-06-11 14:06:30,ACTIVE
ACC0000189,CUST007328,CHECKING,EUR,396.96,2025-12-01 11:08:54,SUSPENDED
ACC0000190,CUST006737,CHECKING,USD,178.07,2022-05-13 20:33:27,SUSPENDED
ACC0000191,CUST004128,CHECKING,SGD,641.74,2023-02-18 07:13:31,CLOSED
ACC0000192,CUST000209,CHECKING,USD,3064.62,2022-11-28 15:54:53,ACTIVE
ACC0000193,CUST002663,CHECKING,INR,1417.87,2026-02-20 02:27:10,ACTIVE
ACC0000194,CUST001429,SAVINGS,USD,245.95,2021-11-17 09:02:15,SUSPENDED
ACC0000195,CUST009395,CHECKING,EUR,1349.94,2021-09-23 08:24:29,SUSPENDED
ACC0000196,CUST000188,CHECKING,EUR,1741.29,2023-03-23 22:55:41,SUSPENDED
ACC0000197,CUST006841,SAVINGS,USD,379.7,2023-07-17 18:41:14,ACTIVE
ACC0000198,CUST007265,CHECKING,PKR,1318.79,2025-09-01 05:24:07,ACTIVE
ACC0000199,CUST006716,SAVINGS,CAD,1175.97,2022-02-12 17:53:29,ACTIVE
ACC0000200,CUST004298,SAVINGS,AUD,278.23,2025-02-19 13:04:35,ACTIVE
ACC0000201,CUST009515,SAVINGS,USD,1684.7,2021-10-30 18:56:35,ACTIVE
ACC0000202,CUST003182,CHECKING,EUR,2149.39,2023-04-24 20:09:33,ACTIVE
ACC0000203,CUST007819,SAVINGS,EUR,4022.51,2022-04-04 01:41:41,CLOSED
ACC0000204,CUST000645,CHECKING,EUR,3883.77,2024-01-30 11:37:38,CLOSED
ACC0000205,CUST003795,BUSINESS,INR,209.93,2022-03-19 15:19:42,ACTIVE
ACC0000206,CUST000818,BUSINESS,EUR,355.89,2025-07-19 05:45:14,ACTIVE
ACC0000207,CUST009420,CHECKING,INR,2034.58,2023-09-26 12:02:19,ACTIVE
ACC0000208,CUST006075,CHECKING,INR,2031.53,2023-10-07 19:32:50,SUSPENDED
ACC0000209,CUST002911,CHECKING,EUR,2034.61,2024-12-17 19:05:11,ACTIVE
ACC0000210,CUST004881,SAVINGS,JPY,111667.14,2022-08-10 03:47:55,ACTIVE
ACC0000211,CUST001423,BUSINESS,USD,2175.62,2023-01-04 15:26:40,ACTIVE
ACC0000212,CUST006264,CHECKING,EUR,4284.16,2023-08-23 04:35:00,CLOSED
ACC0000213,CUST000767,SAVINGS,CAD,3445.42,2023-07-02 09:48:18,ACTIVE
ACC0000214,CUST008666,CHECKING,JPY,2396.27,2023-05-14 13:41:02,ACTIVE
ACC0000215,CUST007961,BUSINESS,EUR,751.2,2026-04-22 05:23:37,ACTIVE
ACC0000216,CUST005249,SAVINGS,EUR,2726.47,2022-06-03 23:51:19,ACTIVE
ACC0000217,CUST006558,CHECKING,EUR,433.81,2026-04-23 23:59:54,CLOSED
ACC0000218,CUST006849,CHECKING,EUR,825.36,2023-11-01 16:45:11,ACTIVE
ACC0000219,CUST007143,CHECKING,AED,612.51,2024-07-27 02:04:41,ACTIVE
ACC0000220,CUST004611,CHECKING,EUR,1209.85,2024-01-11 10:02:01,CLOSED
ACC0000221,CUST008614,BUSINESS,JPY,17634.11,2026-08-11 02:49:59,ACTIVE
ACC0000222,CUST000170,CHECKING,EUR,116.66,2025-05-28 20:15:33,SUSPENDED
ACC0000223,CUST005335,CHECKING,GBP,2498.67,2024-08-20 20:12:01,ACTIVE
ACC0000224,CUST002843,CHECKING,GBP,158.34,2022-05-04 17:57:41,ACTIVE
ACC0000225,CUST006942,CHECKING,EUR,622.46,2024-07-06 05:32:49,ACTIVE
ACC0000226,CUST006974,BUSINESS,AED,4051.09,2022-12-28 15:14:03,ACTIVE
ACC0000227,CUST003653,BUSINESS,EUR,1184.57,2023-09-13 21:00:09,ACTIVE
ACC0000228,CUST003369,CHECKING,AED,300.88,2026-02-27 05:03:05,ACTIVE
ACC0000229,CUST001879,CHECKING,USD,464.81,2024-07-20 22:44:01,CLOSED
ACC0000230,CUST004244,SAVINGS,JPY,2478.77,2026-06-02 22:06:39,CLOSED
ACC0000231,CUST001527,SAVINGS,EUR,456.49,2026-07-16 17:36:12,ACTIVE
ACC0000232,CUST002249,CHECKING,EUR,1421.9,2025-05-21 14:39:55,CLOSED
ACC0000233,CUST001625,SAVINGS,PKR,1158.27,2022-12-07 12:30:49,ACTIVE
ACC0000234,CUST004523,SAVINGS,USD,501.74,2024-08-10 20:29:04,ACTIVE
ACC0000235,CUST003222,SAVINGS,JPY,14367.63,2021-10-29 21:15:53,ACTIVE
ACC0000236,CUST007601,SAVINGS,SGD,2346.55,2024-11-26 00:14:06,CLOSED
ACC0000237,CUST006363,BUSINESS,SGD,96.53,2025-07-15 08:23:23,ACTIVE
ACC0000238,CUST007809,SAVINGS,EUR,1371.62,2022-04-17 21:13:48,ACTIVE
ACC0000239,CUST006914,BUSINESS,EUR,495.64,2023-07-24 10:16:47,ACTIVE
ACC0000240,CUST004113,BUSINESS,INR,3050.07,2022-11-08 18:15:04,ACTIVE
ACC0000241,CUST002951,BUSINESS,SGD,423.68,2022-10-12 15:59:46,ACTIVE
ACC0000242,CUST004546,SAVINGS,EUR,955.58,2023-07-10 10:51:10,ACTIVE
ACC0000243,CUST007756,SAVINGS,USD,2010.19,2025-06-24 23:37:33,ACTIVE
ACC0000244,CUST001640,BUSINESS,EUR,3099.22,2021-10-14 12:02:24,SUSPENDED
ACC0000245,CUST007232,CHECKING,GBP,259.73,2026-07-30 11:45:00,ACTIVE
ACC0000246,CUST008101,BUSINESS,PKR,734.07,2021-10-14 15:39:33,SUSPENDED
ACC0000247,CUST009251,CHECKING,USD,620.21,2023-09-04 14:03:41,ACTIVE
ACC0000248,CUST004912,BUSINESS,AUD,500.7,2022-07-16 11:09:29,ACTIVE
ACC0000249,CUST000675,CHECKING,CAD,9122.92,2023-09-09 13:40:57,ACTIVE
ACC0000250,CUST009181,CHECKING,AED,1782.87,2024-04-11 15:23:42,ACTIVE
ACC0000251,CUST005041,SAVINGS,GBP,241.52,2024-12-23 20:21:01,ACTIVE
ACC0000252,CUST001275,SAVINGS,CAD,3299.2,2024-04-21 18:36:05,ACTIVE
ACC0000253,CUST003589,SAVINGS,EUR,13996.85,2024-02-17 10:36:26,ACTIVE
ACC0000254,CUST007019,SAVINGS,EUR,3785.59,2023-08-02 02:11:27,ACTIVE
ACC0000255,CUST008209,SAVINGS,INR,177.11,2021-09-25 11:52:15,SUSPENDED
ACC0000256,CUST004187,SAVINGS,JPY,613.34,2022-05-12 02:52:21,SUSPENDED
ACC0000257,CUST000177,CHECKING,PKR,5015.52,2024-06-12 17:30:40,ACTIVE
ACC0000258,CUST004808,BUSINESS,JPY,469.09,2023-07-31 06:27:58,ACTIVE
ACC0000259,CUST003693,SAVINGS,AED,1867.92,2023-07-14 20:20:55,ACTIVE
ACC0000260,CUST006849,BUSINESS,EUR,2778.21,2026-07-26 12:56:03,SUSPENDED
ACC0000261,CUST000680,SAVINGS,PKR,360.57,2024-07-02 15:13:46,CLOSED
ACC0000262,CUST007662,CHECKING,AED,1021.03,2026-06-01 21:30:39,ACTIVE
ACC0000263,CUST008450,SAVINGS,EUR,22.43,2023-07-23 19:36:27,CLOSED
ACC0000264,CUST004362,CHECKING,EUR,320.77,2023-04-04 20:17:19,CLOSED
ACC0000265,CUST000199,CHECKING,JPY,809.91,2022-10-14 13:20:17,SUSPENDED
ACC0000266,CUST005553,CHECKING,GBP,245.34,2025-04-02 12:40:38,SUSPENDED
ACC0000267,CUST005525,BUSINESS,GBP,7776.75,2024-09-19 11:39:40,ACTIVE
ACC0000268,CUST007893,BUSINESS,EUR,197.12,2021-12-25 01:31:34,ACTIVE
ACC0000269,CUST002858,CHECKING,CAD,646.74,2021-10-05 00:37:47,ACTIVE
ACC0000270,CUST004564,CHECKING,JPY,1282.91,2022-08-27 10:36:56,ACTIVE
ACC0000271,CUST009667,BUSINESS,EUR,6182.81,2023-02-18 09:54:12,ACTIVE
ACC0000272,CUST000533,BUSINESS,SGD,195.77,2026-02-20 07:59:51,ACTIVE
ACC0000273,CUST007815,BUSINESS,EUR,4428.41,2022-04-01 18:10:04,ACTIVE
ACC0000274,CUST004291,BUSINESS,EUR,1110.18,2025-12-12 08:39:32,ACTIVE
ACC0000275,CUST000818,SAVINGS,EUR,337.71,2024-04-09 10:32:39,ACTIVE
ACC0000276,CUST006727,BUSINESS,EUR,1909.36,2026-03-09 07:12:08,ACTIVE
ACC0000277,CUST004811,CHECKING,EUR,1392.52,2023-07-16 03:33:15,ACTIVE
ACC0000278,CUST008278,BUSINESS,EUR,533.65,2024-12-11 09:05:20,ACTIVE
ACC0000279,CUST004519,CHECKING,EUR,1192.45,2024-03-13 11:25:20,ACTIVE
ACC0000280,CUST000840,SAVINGS,USD,690.64,2024-06-26 15:11:41,CLOSED
ACC0000281,CUST006147,CHECKING,CAD,1256.67,2022-03-07 05:10:08,SUSPENDED
ACC0000282,CUST007396,BUSINESS,EUR,2427.35,2023-10-01 11:24:53,ACTIVE
ACC0000283,CUST006810,SAVINGS,EUR,7355.62,2022-02-03 15:04:53,ACTIVE
ACC0000284,CUST007658,CHECKING,SGD,248.3,2022-02-19 07:11:04,CLOSED
ACC0000285,CUST006353,CHECKING,EUR,14180.74,2024-12-11 05:43:29,ACTIVE
ACC0000286,CUST009068,CHECKING,INR,105.37,2025-08-11 11:56:28,ACTIVE
ACC0000287,CUST004865,BUSINESS,EUR,914.02,2026-07-17 23:25:48,ACTIVE
ACC0000288,CUST008511,SAVINGS,GBP,2221.59,2022-03-24 14:13:43,SUSPENDED
ACC0000289,CUST009977,BUSINESS,EUR,1536.39,2023-05-17 21:21:06,ACTIVE
ACC0000290,CUST000980,CHECKING,USD,519.44,2024-01-24 20:48:37,ACTIVE
