merchant_id,merchant_name,merchant_category,country,risk_category
MER00088,Brooks-White,RESTAURANT,BE,MEDIUM
MER00089,Martin-Fernandez,FASHION,GB,MEDIUM
MER00090,Williams-White,TRANSPORT,IN,MEDIUM
MER00091,"Rodriguez, Hernandez and Evans",E_COMMERCE,AU,LOW
MER00092,Powell LLC,E_COMMERCE,PK,MEDIUM
MER00093,Irwin-Bryant,FASHION,NL,LOW
MER00094,Grimes-Medina,TRAVEL,DE,LOW
MER00095,Gardner-Allen,ELECTRONICS,NL,MEDIUM
MER00096,Schultz Group,FINANCIAL_SERVICES,PK,LOW
MER00097,"Green, Ryan and Turner",E_COMMERCE,CA,HIGH
MER00098,"Ruiz, Baker and Brooks",ELECTRONICS,AU,MEDIUM
MER00099,Maxwell Inc,ELECTRONICS,PK,MEDIUM
MER00100,Marshall-Dickson,RESTAURANT,ES,MEDIUM
MER00101,"Holmes, Reese and Johnson",UTILITIES,ES,HIGH
MER00102,Miller-Hooper,UTILITIES,BE,LOW
MER00103,Torres-Sanchez,FINANCIAL_SERVICES,AU,MEDIUM
MER00104,Doyle Group,ENTERTAINMENT,NL,LOW
MER00105,"Mitchell, Rodriguez and Aguirre",ENTERTAINMENT,AE,MEDIUM
MER00106,Campbell-Salazar,TRAVEL,BE,MEDIUM
MER00107,Reyes-Phillips,TRAVEL,GB,MEDIUM
MER00108,Gomez and Sons,TRANSPORT,AE,HIGH
MER00109,"Coleman, Sutton and Pratt",E_COMMERCE,IN,LOW
MER00110,"Richardson, Myers and Sweeney",ENTERTAINMENT,GB,MEDIUM
MER00111,"Webster, Lopez and Holmes",TRANSPORT,BE,MEDIUM
MER00112,"Fitzgerald, Flores and Barnes",ENTERTAINMENT,PK,MEDIUM
MER00113,"Martinez, Perez and Soto",FASHION,GB,MEDIUM
MER00114,Butler and Sons,GAMING,BE,LOW
MER00115,Robbins Ltd,HEALTHCARE,JP,MEDIUM
MER00116,Wheeler PLC,GROCERY,SG,LOW
MER00117,Johnson-Scott,TRANSPORT,DE,MEDIUM
MER00118,Lee LLC,ELECTRONICS,IN,LOW
MER00119,"Johnson, Reese and Callahan",HEALTHCARE,GB,MEDIUM
MER00120,Miller-Miller,UTILITIES,SG,MEDIUM
MER00121,Valencia Ltd,ENTERTAINMENT,PK,LOW
MER00122,"Miranda, Oconnor and White",RESTAURANT,DE,LOW
MER00123,Durham-Shepard,GAMING,AU,LOW
MER00124,Wagner PLC,UTILITIES,BE,LOW
MER00125,Lee and Sons,ELECTRONICS,IN,MEDIUM
MER00126,"Willis, Miller and Cameron",HEALTHCARE,CA,LOW
MER00127,Strickland Ltd,E_COMMERCE,NL,MEDIUM
MER00128,Mccarty Group,FASHION,NL,MEDIUM
MER00129,"Stephens, Torres and Richardson",UTILITIES,US,LOW
MER00130,"Taylor, Young and Juarez",FINANCIAL_SERVICES,FR,MEDIUM
MER00131,"Bishop, Macdonald and Cruz",ENTERTAINMENT,FR,HIGH
MER00132,"Howell, Silva and Ferguson",FASHION,GB,LOW
MER00133,"Randall, Silva and Mcclure",GAMING,SG,MEDIUM
MER00134,"Brown, Kelly and Bauer",TRANSPORT,IT,HIGH
MER00135,Juarez-Stewart,E_COMMERCE,AE,MEDIUM
MER00136,Odonnell-Smith,GROCERY,BE,HIGH
MER00137,Sims Group,RESTAURANT,NL,MEDIUM
MER00138,Carey Group,HEALTHCARE,ES,LOW
MER00139,"Collier, Clark and Wheeler",GAMING,FR,HIGH
MER00140,"Fernandez, Gibson and Garrett",GROCERY,ES,HIGH
MER00141,Jones-Berg,E_COMMERCE,AU,LOW
MER00142,"Moss, Cortez and Bailey",E_COMMERCE,BE,LOW
MER00143,Snyder Ltd,TRAVEL,ES,MEDIUM
MER00144,"Hobbs, Collins and Thomas",E_COMMERCE,FR,MEDIUM
MER00145,"Pierce, Powers and Trevino",GAMING,IN,HIGH
MER00146,Horton and Sons,ENTERTAINMENT,NL,HIGH
MER00147,Hopkins Inc,FASHION,IN,LOW
MER00148,"Williams, Spence and Sims",HEALTHCARE,PK,MEDIUM
MER00149,Walker-Carpenter,ELECTRONICS,IT,HIGH
MER00150,"Yang, Welch and Kennedy",ENTERTAINMENT,DE,MEDIUM
MER00151,"Garrett, Nixon and Schneider",ENTERTAINMENT,US,MEDIUM
MER00152,Oliver-Alvarado,HEALTHCARE,IN,HIGH
MER00153,Trevino and Sons,ELECTRONICS,DE,HIGH
MER00154,Johnson Group,E_COMMERCE,DE,HIGH
MER00155,Martin-Lee,ELECTRONICS,AU,LOW
MER00156,"Jacobs, Davis and Wolfe",TRANSPORT,BE,MEDIUM
MER00157,Andrews-Pennington,FINANCIAL_SERVICES,IT,MEDIUM
MER00158,"Brown, Cunningham and Nelson",TRAVEL,BE,HIGH
MER00159,Horne-Rich,TRAVEL,IN,LOW
MER00160,Jones Ltd,GAMING,CA,LOW
MER00161,Reynolds Ltd,UTILITIES,AU,HIGH
MER00162,"Joseph, Rojas and Obrien",UTILITIES,IN,HIGH
MER00163,"Hart, White and Chapman",RESTAURANT,AU,MEDIUM
MER00164,Boyd LLC,ELECTRONICS,AU,LOW
MER00165,Greene-Davis,GAMING,BE,HIGH
MER00166,"Jacobs, Chavez and Stewart",FINANCIAL_SERVICES,AU,LOW
MER00167,"Carter, Davis and Robinson",E_COMMERCE,ES,MEDIUM
MER00168,"Rodriguez, Lowe and Jones",HEALTHCARE,SG,HIGH
MER00169,Johnson Inc,ELECTRONICS,JP,LOW
MER00170,Schaefer LLC,GROCERY,ES,MEDIUM
MER00171,"Soto, Blair and Yang",GROCERY,SG,LOW
MER00172,Foley LLC,RESTAURANT,CA,MEDIUM
MER00173,Clarke-Evans,ENTERTAINMENT,JP,MEDIUM
MER00174,"Griffith, Taylor and Johnston",TRAVEL,US,LOW
MER00175,Jones-Rogers,RESTAURANT,DE,LOW
MER00176,Martinez-English,UTILITIES,PK,MEDIUM
MER00177,Summers-Bennett,TRAVEL,IT,MEDIUM
MER00178,"Smith, Lee and Romero",GROCERY,IN,MEDIUM
MER00179,Graham-Rhodes,UTILITIES,CA,HIGH
MER00180,Bass PLC,GROCERY,DE,LOW
MER00181,Larsen and Sons,GROCERY,JP,LOW
MER00182,"Phillips, Welch and Ray",ELECTRONICS,JP,MEDIUM
MER00183,Goodman-Jones,FASHION,AE,HIGH
MER00184,Taylor-Grimes,RESTAURANT,IN,MEDIUM
MER00185,"Rodriguez, Moyer and Dillon",HEALTHCARE,JP,HIGH
MER00186,Gomez-Hernandez,GROCERY,NL,LOW
MER00187,"Blackwell, Ellis and Sanchez",FINANCIAL_SERVICES,IN,LOW
MER00188,Wallace LLC,HEALTHCARE,AU,LOW
MER00189,Jensen-Haney,TRANSPORT,AE,LOW
MER00190,Gutierrez-Friedman,GAMING,NL,LOW
MER00191,Alexander-Maddox,UTILITIES,BE,HIGH
MER00192,"Marshall, Wolf and Gonzalez",E_COMMERCE,NL,LOW
MER00193,Little PLC,FINANCIAL_SERVICES,FR,LOW
MER00194,"Hughes, Barron and Harris",GROCERY,ES,HIGH
MER00195,Hernandez-Stewart,ENTERTAINMENT,CA,LOW
MER00196,Sutton-Gonzalez,TRANSPORT,PK,LOW
MER00197,Boyer Inc,GAMING,CA,MEDIUM
MER00198,Edwards-Lara,ENTERTAINMENT,BE,MEDIUM
MER00199,Kelly-Rivers,HEALTHCARE,FR,MEDIUM
MER00200,Murphy Group,E_COMMERCE,US,LOW
MER00201,"Weaver, Griffith and Gonzales",GROCERY,BE,HIGH
MER00202,Vazquez LLC,ENTERTAINMENT,BE,LOW
MER00203,Lopez LLC,RESTAURANT,BE,MEDIUM
MER00204,Garcia and Sons,UTILITIES,FR,LOW
MER00205,Jensen PLC,ELECTRONICS,US,MEDIUM
MER00206,"Garrison, Anderson and Horton",HEALTHCARE,AE,LOW
MER00207,Taylor-Scott,HEALTHCARE,IN,MEDIUM
MER00208,"Thomas, Esparza and Scott",GAMING,GB,LOW
MER00209,Howell Inc,GAMING,IN,MEDIUM
MER00210,Martinez-Hooper,GAMING,DE,MEDIUM
MER00211,"Allen, Moore and Morgan",ENTERTAINMENT,AU,LOW
MER00212,"Smith, Smith and Downs",ELECTRONICS,IT,LOW
MER00213,Walker and Sons,TRANSPORT,ES,LOW
MER00214,Castaneda-Bowman,TRANSPORT,AE,LOW
MER00215,Adams-Scott,UTILITIES,GB,LOW
MER00216,Browning Inc,ELECTRONICS,AE,MEDIUM
MER00217,Bates Group,ELECTRONICS,IN,MEDIUM
MER00218,Chen-Ryan,HEALTHCARE,ES,MEDIUM
MER00219,Howard LLC,GROCERY,SG,HIGH
MER00220,"Smith, Howard and Figueroa",UTILITIES,GB,MEDIUM
MER00221,Cannon-Montoya,E_COMMERCE,IN,LOW
MER00222,"Allison, Torres and Hall",UTILITIES,GB,HIGH
MER00223,"Miles, Stone and Martin",ELECTRONICS,DE,MEDIUM
MER00224,Gonzalez Ltd,GAMING,AU,HIGH
MER00225,Wu LLC,ENTERTAINMENT,PK,MEDIUM
MER00226,Meadows and Sons,FASHION,FR,LOW
MER00227,"Harrell, White and Bowers",TRANSPORT,IN,HIGH
MER00228,Hernandez Inc,HEALTHCARE,ES,MEDIUM
MER00229,Wagner Ltd,GROCERY,DE,LOW
MER00230,Terrell Group,FINANCIAL_SERVICES,ES,LOW
MER00231,Foster LLC,RESTAURANT,BE,HIGH
MER00232,Gamble-Brown,GROCERY,ES,MEDIUM
MER00233,"Williams, Boyd and Martinez",ENTERTAINMENT,AE,LOW
MER00234,Meza and Sons,FINANCIAL_SERVICES,AU,MEDIUM
MER00235,"Leon, Spencer and Turner",RESTAURANT,AU,LOW
MER00236,"Pittman, Parker and White",HEALTHCARE,AE,LOW
MER00237,Freeman PLC,ENTERTAINMENT,SG,MEDIUM
MER00238,Smith Inc,TRAVEL,NL,MEDIUM
MER00239,"Barker, Palmer and Martin",GAMING,BE,HIGH
MER00240,"Krueger, Frey and Hobbs",TRAVEL,GB,LOW
MER00241,Perez-Curtis,ELECTRONICS,US,MEDIUM
MER00242,Reed Ltd,TRANSPORT,IN,HIGH
MER00243,May-Young,ENTERTAINMENT,SG,MEDIUM
MER00244,Fry PLC,RESTAURANT,SG,LOW
MER00245,"Nichols, Hayes and Anderson",TRANSPORT,SG,HIGH
MER00246,Smith-Harris,FINANCIAL_SERVICES,US,MEDIUM
MER00247,Cervantes Inc,GROCERY,US,LOW
MER00248,Lee-Lane,TRANSPORT,CA,LOW
MER00249,"Watkins, Johnson and Reyes",GAMING,JP,HIGH
MER00250,"Villarreal, Taylor and Curry",FINANCIAL_SERVICES,IN,HIGH
MER00251,Tate-Williams,RESTAURANT,DE,HIGH
MER00252,"Garcia, Flores and Rivera",TRAVEL,IT,MEDIUM
MER00253,Hamilton and Sons,ELECTRONICS,AU,HIGH
MER00254,Herring Group,E_COMMERCE,PK,LOW
MER00255,Anderson-Moore,RESTAURANT,IT,LOW
MER00256,Benton PLC,E_COMMERCE,IT,LOW
MER00257,"Butler, Navarro and Wells",GAMING,DE,MEDIUM
MER00258,Levine LLC,GAMING,FR,MEDIUM
MER00259,Stone and Sons,RESTAURANT,PK,LOW
MER00260,"Garcia, Buchanan and Bennett",TRANSPORT,US,MEDIUM
MER00261,"Chung, English and Ferrell",UTILITIES,AE,MEDIUM
MER00262,Nguyen and Sons,TRAVEL,IT,HIGH
MER00263,Hogan-Jones,HEALTHCARE,CA,MEDIUM
MER00264,Alvarado Inc,GROCERY,JP,MEDIUM
MER00265,"Nelson, Chavez and Lindsey",RESTAURANT,SG,LOW
MER00266,Porter-Harrison,E_COMMERCE,JP,LOW
MER00267,Jones PLC,GROCERY,SG,MEDIUM
MER00268,Becker and Sons,E_COMMERCE,ES,LOW
MER00269,Delgado and Sons,ENTERTAINMENT,NL,MEDIUM
MER00270,Potts Group,GAMING,NL,HIGH
MER00271,"Sanders, White and Horn",ELECTRONICS,IT,LOW
MER00272,Miller PLC,HEALTHCARE,AU,MEDIUM
MER00273,Jordan-Humphrey,TRANSPORT,AE,LOW
MER00274,"Morris, Guerrero and Miller",ENTERTAINMENT,GB,MEDIUM
MER00275,Gamble-Jones,HEALTHCARE,BE,LOW
MER00276,"Pena, Mccormick and Oliver",GROCERY,AE,LOW
MER00277,Leach and Sons,GAMING,ES,LOW
MER00278,Reynolds-Norton,UTILITIES,AU,LOW
MER00279,"Williams, Daniels and Fitzpatrick",FINANCIAL_SERVICES,FR,HIGH
MER00280,Robinson Group,TRANSPORT,ES,LOW
MER00281,"Bishop, Mccormick and Osborne",E_COMMERCE,ES,LOW
MER00282,"Roach, Ingram and Harris",RESTAURANT,AE,MEDIUM
MER00283,"Reed, Meyer and Jensen",FINANCIAL_SERVICES,FR,LOW
MER00284,Sullivan Group,GAMING,CA,LOW
MER00285,May-Rogers,GAMING,IN,LOW
MER00286,Meyer-Fernandez,HEALTHCARE,IT,MEDIUM
MER00287,Graves-Pena,ENTERTAINMENT,JP,LOW
MER00288,Alvarez-Wiley,GROCERY,NL,LOW
MER00289,Walker Group,GROCERY,PK,LOW
MER00290,"Oneill, Moyer and Lopez",GAMING,SG,MEDIUM
MER00291,Blake and Sons,E_COMMERCE,AU,LOW
MER00292,"Lewis, Whitney and Austin",GAMING,SG,LOW
MER00293,Miller Ltd,TRAVEL,US,LOW
MER00294,Cross-Wiggins,ELECTRONICS,IT,MEDIUM
MER00295,"Ponce, Barnes and Humphrey",TRAVEL,DE,MEDIUM
MER00296,Hensley and Sons,E_COMMERCE,CA,LOW
MER00297,Diaz-Patterson,RESTAURANT,FR,HIGH
MER00298,"Fernandez, Curry and Johnson",ELECTRONICS,PK,LOW
MER00299,Lawson-Owens,FINANCIAL_SERVICES,AU,MEDIUM
MER00300,Gonzalez LLC,FASHION,AU,MEDIUM
MER00301,Hunt Inc,ENTERTAINMENT,BE,MEDIUM
MER00302,"Thompson, Rubio and Lawrence",RESTAURANT,ES,LOW
MER00303,Chambers-Carpenter,HEALTHCARE,GB,LOW
MER00304,Brown Ltd,GROCERY,JP,MEDIUM
MER00305,Hurst and Sons,GROCERY,ES,MEDIUM
MER00306,"Yoder, Garcia and Davis",RESTAURANT,ES,LOW
MER00307,"Taylor, Scott and Arias",GROCERY,NL,MEDIUM
MER00308,Goodman-Gonzalez,GAMING,IN,MEDIUM
MER00309,Armstrong and Sons,ENTERTAINMENT,GB,HIGH
MER00310,"Bauer, Peterson and Johnston",GAMING,JP,LOW
MER00311,"Hernandez, Burns and Torres",TRAVEL,JP,MEDIUM
MER00312,Perez PLC,UTILITIES,ES,LOW
MER00313,Waters and Sons,FINANCIAL_SERVICES,DE,LOW
MER00314,Rose PLC,FINANCIAL_SERVICES,PK,LOW
MER00315,"Preston, Cannon and Ortiz",GAMING,FR,LOW
MER00316,"Norton, Schmidt and Cabrera",TRAVEL,DE,LOW
MER00317,Brady Inc,UTILITIES,NL,MEDIUM
MER00318,Cruz-Duncan,FINANCIAL_SERVICES,CA,MEDIUM
MER00319,Martinez-Young,GROCERY,BE,MEDIUM
MER00320,Hall PLC,UTILITIES,ES,LOW
MER00321,Carey-Taylor,TRANSPORT,IN,LOW
MER00322,Graves Inc,UTILITIES,CA,MEDIUM
MER00323,Delacruz and Sons,ELECTRONICS,NL,LOW
MER00324,"Williams, Flynn and Collins",FINANCIAL_SERVICES,JP,MEDIUM
MER00325,Daniels PLC,FINANCIAL_SERVICES,NL,MEDIUM
MER00326,Miles-Davis,E_COMMERCE,US,LOW
MER00327,"Francis, Holloway and Walker",HEALTHCARE,NL,LOW
MER00328,Ho-Brandt,GROCERY,JP,LOW
MER00329,Smith-Andrews,ENTERTAINMENT,US,LOW
MER00330,"Dunn, Ortiz and Estrada",GAMING,ES,LOW
MER00331,Ward-Watkins,ELECTRONICS,US,MEDIUM
MER00332,"Smith, Barrera and Ross",UTILITIES,IT,LOW
MER00333,Ramirez-Sanchez,GROCERY,AU,LOW
MER00334,"Peterson, Parker and Turner",FASHION,IN,LOW
MER00335,"Castillo, Barnes and Fields",ENTERTAINMENT,DE,LOW
MER00336,Wells and Sons,ENTERTAINMENT,NL,MEDIUM
MER00337,Li PLC,ELECTRONICS,SG,MEDIUM
MER00338,"Moyer, Brown and Hodge",TRANSPORT,NL,LOW
MER00339,Brown Group,ENTERTAINMENT,AE,HIGH
MER00340,Norton and Sons,E_COMMERCE,BE,LOW
MER00341,Ali Group,FINANCIAL_SERVICES,ES,MEDIUM
MER00342,"Smith, Gill and Wells",TRANSPORT,AE,MEDIUM
MER00343,Farmer-Johnson,FASHION,JP,LOW
MER00344,"Campbell, Lopez and Murray",ELECTRONICS,GB,LOW
MER00345,King Inc,TRANSPORT,PK,MEDIUM
MER00346,"Drake, Parker and Williams",GROCERY,IT,LOW
MER00347,Pierce-Washington,RESTAURANT,IT,MEDIUM
MER00348,"Stephens, Peck and Mcdaniel",TRANSPORT,PK,LOW
MER00349,Douglas LLC,RESTAURANT,ES,LOW
MER00350,Brown Ltd,RESTAURANT,AU,LOW
MER00351,"Stokes, King and Perez",FASHION,AE,HIGH
MER00352,Stewart-Jones,UTILITIES,AU,MEDIUM
MER00353,Aguirre-Alvarez,ENTERTAINMENT,BE,MEDIUM
MER00354,"Irwin, Vaughan and Anderson",UTILITIES,IT,LOW
MER00355,Williams PLC,HEALTHCARE,US,MEDIUM
MER00356,Reynolds Ltd,E_COMMERCE,PK,HIGH
MER00357,"Payne, Hansen and Jones",HEALTHCARE,AE,HIGH
MER00358,"Long, Ibarra and Woods",ELECTRONICS,DE,LOW
MER00359,"Vasquez, Werner and Peterson",E_COMMERCE,IN,LOW
MER00360,Andrade Group,RESTAURANT,NL,LOW
MER00361,Beck Group,GROCERY,BE,HIGH
MER00362,"Castillo, Jordan and James",TRANSPORT,IT,HIGH
MER00363,"Gilbert, Ramsey and Bell",ENTERTAINMENT,IT,LOW
MER00364,Glover-Brown,ENTERTAINMENT,ES,MEDIUM
MER00365,Arnold and Sons,E_COMMERCE,ES,LOW
MER00366,Hernandez-Chavez,HEALTHCARE,IN,LOW
MER00367,Sparks Group,HEALTHCARE,FR,LOW
MER00368,Castro-Krueger,RESTAURANT,PK,MEDIUM
MER00369,Hawkins PLC,ELECTRONICS,US,LOW
MER00370,Ortiz-Steele,HEALTHCARE,IN,LOW
MER00371,Stewart-Watson,GROCERY,JP,MEDIUM
MER00372,Huffman Ltd,E_COMMERCE,IT,LOW
MER00373,Saunders-Stewart,UTILITIES,AU,MEDIUM
MER00374,"Richardson, Robinson and Armstrong",GAMING,JP,MEDIUM
MER00375,"Hernandez, Cordova and Alexander",HEALTHCARE,PK,MEDIUM
MER00376,"Stein, Fowler and Parker",TRAVEL,IT,LOW
MER00377,Thornton LLC,RESTAURANT,ES,LOW
MER00378,Gonzales-Lewis,ELECTRONICS,CA,MEDIUM
MER00379,Hunter LLC,GAMING,IT,MEDIUM
MER00380,Lucas-Phillips,ELECTRONICS,BE,HIGH
MER00381,"Jenkins, Campos and Hanna",TRANSPORT,PK,LOW
MER00382,"Perez, Torres and Gill",TRAVEL,GB,LOW
MER00383,Lane-Steele,TRANSPORT,DE,MEDIUM
MER00384,"Snow, Paul and Velazquez",ELECTRONICS,NL,LOW
MER00385,"Jordan, Kelley and Harris",GROCERY,SG,MEDIUM
MER00386,"Pugh, Forbes and Larsen",ELECTRONICS,CA,MEDIUM
MER00387,Patterson Group,FINANCIAL_SERVICES,AU,HIGH
MER00388,Newton Group,TRANSPORT,AU,HIGH
MER00389,"Sweeney, Mcgee and Conley",RESTAURANT,JP,MEDIUM
MER00390,"Vang, Turner and Johnson",RESTAURANT,DE,MEDIUM
MER00391,Love LLC,ENTERTAINMENT,AU,LOW
MER00392,"Mcneil, Parks and Pratt",RESTAURANT,CA,MEDIUM
MER00393,"Fisher, Klein and Glover",FINANCIAL_SERVICES,IN,MEDIUM
MER00394,Trujillo-Cervantes,ENTERTAINMENT,IT,LOW
MER00395,"Brown, Hull and Page",GAMING,AE,LOW
MER00396,Marsh-Reyes,ENTERTAINMENT,GB,LOW
MER00397,Bryant and Sons,GAMING,IT,MEDIUM
MER00398,Soto Inc,GAMING,SG,LOW
MER00399,Perez Inc,TRAVEL,BE,LOW
MER00400,"Young, Williams and Williams",TRAVEL,IT,LOW
MER00401,Hogan LLC,GAMING,AU,MEDIUM
MER00402,Johnson-Colon,RESTAURANT,SG,MEDIUM
MER00403,Taylor-Stark,E_COMMERCE,US,HIGH
MER00404,Smith-Yates,ENTERTAINMENT,FR,LOW
MER00405,"Johnson, Mcdonald and Wiley",UTILITIES,IN,HIGH
MER00406,Ellis-Turner,E_COMMERCE,IT,LOW
MER00407,Walker-Bell,ENTERTAINMENT,ES,LOW
MER00408,"Butler, Jennings and Montoya",GAMING,IN,LOW
MER00409,Brewer-Brown,GROCERY,IN,MEDIUM
MER00410,Patrick Inc,RESTAURANT,JP,HIGH
MER00411,Ross PLC,HEALTHCARE,SG,LOW
MER00412,"Thompson, Shaw and Long",FASHION,DE,LOW
MER00413,"Barrera, Hickman and Peterson",E_COMMERCE,IT,LOW
MER00414,Petersen-Thomas,TRAVEL,JP,LOW
MER00415,Harding Ltd,TRANSPORT,JP,HIGH
MER00416,"Wilson, Russo and Stokes",GAMING,AE,MEDIUM
MER00417,"Murray, Smith and Wilson",E_COMMERCE,AE,LOW
MER00418,"Trujillo, Dodson and Smith",HEALTHCARE,NL,MEDIUM
MER00419,Combs LLC,UTILITIES,IT,HIGH
MER00420,Greene-Knox,HEALTHCARE,FR,LOW
MER00421,"Wang, Williams and Miller",E_COMMERCE,PK,LOW
MER00422,Meyer-Holmes,E_COMMERCE,PK,LOW
MER00423,"Hunter, Orozco and Hunter",UTILITIES,US,MEDIUM
MER00424,"Jones, Lopez and Francis",FASHION,AU,MEDIUM
MER00425,"Keller, Lopez and Mcdonald",GROCERY,DE,LOW
MER00426,Roman-Hunter,RESTAURANT,NL,MEDIUM
MER00427,Schneider LLC,GAMING,CA,LOW
MER00428,Jordan PLC,E_COMMERCE,US,LOW
MER00429,Johnson-Shea,GAMING,NL,MEDIUM
MER00430,Jacobson-Galloway,E_COMMERCE,BE,LOW
MER00431,Hall PLC,FASHION,US,MEDIUM
MER00432,Davis-Brooks,GAMING,AU,LOW
