transaction_id,account_id,merchant_id,transaction_timestamp,transaction_type,amount,currency,payment_method,country,status
TX000000066,ACC0003169,MER00716,2025-11-18 16:31:44,PURCHASE,39.57,USD,CARD,US,COMPLETED
TX000000067,ACC0009059,MER00880,2025-08-20 21:50:53,TRANSFER,48.49,EUR,CASH,FR,PENDING
TX000000068,ACC0003392,MER00482,2026-08-17 11:07:20,PURCHASE,22.86,CAD,DIRECT_DEBIT,CA,COMPLETED
TX000000069,ACC0004702,MER00336,2026-05-28 05:17:02,TRANSFER,57.16,PKR,CARD,PK,COMPLETED
TX000000070,ACC0000070,MER00594,2026-06-22 02:20:23,PURCHASE,169.21,CAD,CARD,CA,COMPLETED
TX000000071,ACC0000296,MER00933,2025-11-09 04:05:56,WITHDRAWAL,71.9,AUD,CARD,AU,COMPLETED
TX000000072,ACC0005670,MER00472,2025-09-29 01:12:36,PURCHASE,80.68,JPY,CARD,JP,COMPLETED
TX000000073,ACC0006907,MER00403,2026-05-18 01:39:05,PURCHASE,45.76,EUR,CASH,FR,REVERSED
TX000000074,ACC0000050,MER00586,2026-04-02 19:45:21,PURCHASE,6.34,AED,CARD,AE,PENDING
TX000000075,ACC0010599,MER00660,2026-03-11 12:11:29,TRANSFER,10.49,PKR,DIGITAL_WALLET,PK,FAILED
TX000000076,ACC0002469,MER00676,2025-11-22 00:06:14,TRANSFER,54.62,GBP,DIGITAL_WALLET,GB,PENDING
TX000000077,ACC0004150,MER00504,2026-01-04 11:00:59,TRANSFER,32.72,SGD,DIRECT_DEBIT,SG,COMPLETED
TX000000078,ACC0011147,MER00990,2025-09-24 13:52:42,WITHDRAWAL,53.72,JPY,CARD,JP,COMPLETED
TX000000079,ACC0002368,MER00262,2026-06-29 21:12:57,PURCHASE,209.36,GBP,CARD,GB,COMPLETED
TX000000080,ACC0010305,MER00471,2026-05-30 06:07:07,PAYMENT,73.6,SGD,DIRECT_DEBIT,SG,COMPLETED
TX000000081,ACC0009881,MER00251,2026-01-21 20:42:54,PAYMENT,132.26,PKR,DIGITAL_WALLET,PK,REVERSED
TX000000082,ACC0010041,MER00785,2025-12-30 23:57:21,PURCHASE,36.75,USD,CASH,US,COMPLETED
TX000000083,ACC0008635,MER00457,2026-01-11 07:21:51,REFUND,13.63,GBP,DIRECT_DEBIT,GB,PENDING
TX000000084,ACC0006530,MER00535,2025-11-25 05:42:49,WITHDRAWAL,31.07,EUR,CARD,FR,FAILED
TX000000085,ACC0002012,MER00983,2026-07-03 20:26:26,TRANSFER,13.66,USD,DIRECT_DEBIT,US,COMPLETED
TX000000086,ACC0006208,MER00357,2026-02-10 18:32:43,PURCHASE,183.85,EUR,CARD,FR,COMPLETED
TX000000087,ACC0008048,MER00828,2026-01-31 00:23:34,REFUND,79.0,EUR,BANK_TRANSFER,FR,FAILED
TX000000088,ACC0008037,MER00239,2025-11-12 08:35:43,PAYMENT,58.71,JPY,CARD,JP,FAILED
TX000000089,ACC0009890,MER00536,2026-02-15 13:41:25,PURCHASE,128.96,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000090,ACC0000500,MER00683,2026-03-13 17:13:46,PURCHASE,3.59,EUR,CARD,FR,FAILED
TX000000091,ACC0010106,MER00743,2026-06-03 12:04:39,PURCHASE,63.24,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000092,ACC0011791,MER00158,2026-07-04 00:51:33,TRANSFER,7.83,AED,CARD,AE,FAILED
TX000000093,ACC0001445,MER00920,2026-07-09 01:01:56,PURCHASE,32.85,EUR,BANK_TRANSFER,FR,PENDING
TX000000094,ACC0007280,MER00826,2026-06-18 00:40:08,REFUND,23.5,EUR,BANK_TRANSFER,FR,PENDING
TX000000095,ACC0011666,MER00235,2025-09-28 10:30:04,PAYMENT,68.57,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000096,ACC0009975,MER00047,2026-07-07 02:04:21,PURCHASE,42.56,EUR,CARD,FR,COMPLETED
TX000000097,ACC0008215,MER00973,2026-01-24 20:08:41,REFUND,145.42,EUR,CARD,FR,COMPLETED
TX000000098,ACC0005924,MER00221,2025-09-03 07:46:27,PAYMENT,17.08,EUR,CASH,FR,COMPLETED
TX000000099,ACC0002586,MER00998,2025-10-31 03:32:16,PURCHASE,72.24,EUR,CARD,FR,PENDING
TX000000100,ACC0003857,MER00248,2026-08-02 19:05:18,PURCHASE,39.58,USD,BANK_TRANSFER,US,COMPLETED
TX000000101,ACC0006383,MER00359,2026-03-01 14:57:09,PURCHASE,5.48,USD,DIGITAL_WALLET,US,FAILED
TX000000102,ACC0001820,MER00629,2026-06-02 14:31:19,WITHDRAWAL,12.06,GBP,CARD,GB,COMPLETED
TX000000103,ACC0002314,MER00595,2026-02-02 00:42:26,PURCHASE,28.08,EUR,CARD,FR,COMPLETED
TX000000104,ACC0002990,MER00271,2026-01-06 08:50:52,TRANSFER,112.56,USD,DIRECT_DEBIT,US,FAILED
TX000000105,ACC0005706,MER00488,2026-06-05 03:45:02,REFUND,55.15,EUR,CASH,FR,PENDING
TX000000106,ACC0008576,MER00331,2025-11-17 15:23:23,PURCHASE,9.17,AED,DIRECT_DEBIT,AE,PENDING
TX000000107,ACC0011583,MER00307,2026-05-03 15:59:06,REFUND,28.38,INR,DIRECT_DEBIT,IN,REVERSED
TX000000108,ACC0000136,MER00028,2026-06-30 00:12:14,WITHDRAWAL,304.78,EUR,BANK_TRANSFER,FR,PENDING
TX000000109,ACC0011469,MER00583,2026-02-24 23:08:00,PURCHASE,37.43,JPY,CASH,JP,REVERSED
TX000000110,ACC0005129,MER00707,2025-09-20 07:53:07,PURCHASE,23.1,AUD,DIGITAL_WALLET,AU,COMPLETED
TX000000111,ACC0010099,MER00030,2026-07-29 20:36:24,PURCHASE,56.88,USD,CASH,US,COMPLETED
TX000000112,ACC0005649,MER00739,2026-03-01 05:08:07,WITHDRAWAL,76.69,USD,CARD,US,REVERSED
TX000000113,ACC0004704,MER00975,2026-05-24 11:27:46,REFUND,20.05,EUR,DIGITAL_WALLET,FR,COMPLETED
TX000000114,ACC0010136,MER00579,2025-09-17 18:25:02,TRANSFER,57.56,CAD,BANK_TRANSFER,CA,COMPLETED
TX000000115,ACC0011823,MER00941,2026-07-12 08:29:48,WITHDRAWAL,23.06,SGD,BANK_TRANSFER,SG,COMPLETED
TX000000116,ACC0002450,MER00165,2026-03-27 19:45:29,PURCHASE,73.06,EUR,DIGITAL_WALLET,FR,COMPLETED
TX000000117,ACC0011968,MER00692,2026-04-09 11:10:58,PURCHASE,39.91,EUR,CARD,FR,COMPLETED
TX000000118,ACC0000560,MER00011,2025-11-14 11:42:18,PURCHASE,56.27,PKR,BANK_TRANSFER,PK,REVERSED
TX000000119,ACC0005953,MER00760,2026-08-05 22:01:00,PURCHASE,14.37,GBP,DIGITAL_WALLET,GB,COMPLETED
TX000000120,ACC0010019,MER00482,2026-07-06 08:21:15,REFUND,13.42,GBP,CASH,GB,FAILED
TX000000121,ACC0003986,MER00877,2026-04-05 21:59:40,WITHDRAWAL,93.7,USD,CARD,US,COMPLETED
TX000000122,ACC0005872,MER00247,2025-08-08 14:07:05,REFUND,30.35,JPY,CARD,JP,COMPLETED
TX000000123,ACC0008450,MER00913,2025-08-30 02:42:08,REFUND,45.31,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000124,ACC0000105,MER00056,2025-10-02 19:40:12,PURCHASE,23.64,EUR,CARD,FR,COMPLETED
TX000000125,ACC0008680,MER00906,2026-01-18 03:16:14,PURCHASE,89.0,SGD,DIGITAL_WALLET,SG,FAILED
TX000000126,ACC0010842,MER00161,2026-02-17 16:13:15,REFUND,16.97,EUR,CARD,FR,COMPLETED
TX000000127,ACC0005832,MER00967,2026-01-12 18:20:45,TRANSFER,28.53,AUD,CARD,AU,COMPLETED
TX000000128,ACC0001572,MER00311,2026-03-29 02:48:13,PAYMENT,78.62,EUR,CARD,FR,REVERSED
TX000000129,ACC0001375,MER00195,2026-05-18 04:46:53,WITHDRAWAL,120.33,JPY,CASH,JP,COMPLETED
TX000000130,ACC0007328,MER00412,2026-01-10 00:45:47,WITHDRAWAL,18.61,JPY,CARD,JP,COMPLETED
TX000000131,ACC0009038,MER00082,2026-04-12 02:28:28,PURCHASE,285.9,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000132,ACC0007891,MER00014,2026-07-05 03:36:06,PURCHASE,46.74,AED,DIRECT_DEBIT,AE,COMPLETED
TX000000133,ACC0011607,MER00067,2026-01-10 01:51:27,PURCHASE,10.51,AED,BANK_TRANSFER,AE,COMPLETED
TX000000134,ACC0010663,MER00805,2026-08-12 11:07:49,PURCHASE,49.7,EUR,CARD,FR,COMPLETED
TX000000135,ACC0011550,MER00827,2025-09-19 14:11:08,WITHDRAWAL,21.73,GBP,BANK_TRANSFER,GB,REVERSED
TX000000136,ACC0003126,MER00026,2026-01-26 00:37:56,PAYMENT,53.38,PKR,DIGITAL_WALLET,PK,FAILED
TX000000137,ACC0002381,MER00071,2026-07-09 09:12:25,PURCHASE,31.59,USD,DIGITAL_WALLET,US,FAILED
TX000000138,ACC0009552,MER00617,2026-06-04 23:44:24,REFUND,35.93,JPY,CARD,JP,FAILED
TX000000139,ACC0009442,MER00985,2025-12-24 07:40:35,PURCHASE,12.15,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000140,ACC0000925,MER00370,2026-05-06 23:29:01,PURCHASE,98.4,PKR,CARD,PK,COMPLETED
TX000000141,ACC0006281,MER00886,2025-12-26 09:48:45,PURCHASE,9.28,GBP,CASH,GB,COMPLETED
TX000000142,ACC0009355,MER00099,2025-09-11 10:59:59,PURCHASE,9.78,USD,CARD,US,PENDING
TX000000143,ACC0011954,MER00560,2026-06-24 00:43:40,PURCHASE,49.61,AUD,CARD,AU,COMPLETED
TX000000144,ACC0010048,MER00959,2026-02-28 03:07:39,WITHDRAWAL,193.08,JPY,CARD,JP,COMPLETED
TX000000145,ACC0009736,MER00895,2026-06-29 08:03:32,PURCHASE,22.47,EUR,CARD,FR,COMPLETED
TX000000146,ACC0007522,MER00072,2026-08-24 00:50:21,WITHDRAWAL,71.6,SGD,CASH,SG,REVERSED
TX000000147,ACC0000843,MER00704,2026-07-22 05:47:00,PURCHASE,107.84,JPY,CARD,JP,FAILED
TX000000148,ACC0007733,MER00038,2025-11-27 23:23:51,PURCHASE,81.14,EUR,CARD,FR,COMPLETED
TX000000149,ACC0011908,MER00049,2025-08-06 06:22:42,REFUND,23.52,EUR,DIRECT_DEBIT,FR,PENDING
TX000000150,ACC0005059,MER00279,2025-10-23 22:29:29,PAYMENT,9.97,AUD,CARD,AU,COMPLETED
TX000000151,ACC0001596,MER00142,2026-01-19 18:53:52,REFUND,2.92,PKR,CARD,PK,COMPLETED
TX000000152,ACC0006833,MER00405,2026-05-20 03:54:58,PAYMENT,24.8,AED,BANK_TRANSFER,AE,REVERSED
TX000000153,ACC0000906,MER00867,2026-04-29 00:06:02,REFUND,121.01,JPY,DIRECT_DEBIT,JP,COMPLETED
TX000000154,ACC0008378,MER00874,2026-07-22 13:24:41,PURCHASE,9.62,AUD,BANK_TRANSFER,AU,COMPLETED
TX000000155,ACC0007942,MER00551,2026-08-05 22:48:58,WITHDRAWAL,71.54,INR,DIRECT_DEBIT,IN,PENDING
TX000000156,ACC0004074,MER00598,2026-03-28 12:40:15,PURCHASE,11.64,AUD,BANK_TRANSFER,AU,COMPLETED
TX000000157,ACC0003699,MER00473,2025-09-02 08:43:47,PURCHASE,37.21,EUR,CASH,FR,COMPLETED
TX000000158,ACC0005335,MER00891,2026-05-29 01:28:07,PURCHASE,72.14,AUD,DIGITAL_WALLET,AU,REVERSED
TX000000159,ACC0000300,MER00607,2026-07-20 20:25:20,PURCHASE,16.03,USD,BANK_TRANSFER,US,REVERSED
TX000000160,ACC0004457,MER00510,2026-03-28 14:30:44,PURCHASE,39.95,CAD,CARD,CA,COMPLETED
TX000000161,ACC0011069,MER00668,2025-10-18 05:23:03,PURCHASE,20.98,EUR,CARD,FR,REVERSED
TX000000162,ACC0010361,MER00595,2026-06-20 12:42:20,PURCHASE,71.93,EUR,DIGITAL_WALLET,FR,PENDING
TX000000163,ACC0002190,MER00241,2025-10-24 17:09:21,TRANSFER,42.9,EUR,DIGITAL_WALLET,FR,COMPLETED
TX000000164,ACC0004085,MER00008,2026-02-06 00:41:04,WITHDRAWAL,35.24,GBP,CARD,GB,COMPLETED
TX000000165,ACC0006062,MER00167,2025-08-11 03:30:30,PURCHASE,183.86,AUD,CARD,AU,COMPLETED
TX000000166,ACC0006323,MER00223,2025-12-19 07:58:33,REFUND,68.62,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000167,ACC0004330,MER00649,2026-06-20 18:34:25,PURCHASE,15.5,CAD,CARD,CA,COMPLETED
TX000000168,ACC0009052,MER00403,2025-08-27 11:09:20,TRANSFER,30.13,PKR,CASH,PK,PENDING
TX000000169,ACC0005467,MER00943,2025-09-08 12:59:44,WITHDRAWAL,30.46,PKR,CASH,PK,COMPLETED
TX000000170,ACC0009113,MER00590,2026-01-15 03:59:47,PAYMENT,36.17,GBP,DIRECT_DEBIT,GB,COMPLETED
TX000000171,ACC0005368,MER00481,2025-09-11 06:32:26,REFUND,532.17,AUD,CARD,AU,REVERSED
TX000000172,ACC0005145,MER00277,2026-04-16 15:57:50,PURCHASE,49.8,SGD,BANK_TRANSFER,SG,FAILED
TX000000173,ACC0001746,MER00574,2026-08-09 12:21:25,PAYMENT,3.53,USD,BANK_TRANSFER,US,FAILED
TX000000174,ACC0011673,MER00820,2025-10-22 19:40:15,PURCHASE,18.23,SGD,DIGITAL_WALLET,SG,COMPLETED
TX000000175,ACC0008692,MER00533,2026-04-27 22:51:29,REFUND,3.95,INR,CASH,IN,REVERSED
TX000000176,ACC0010398,MER00806,2026-03-18 02:29:58,REFUND,23.04,EUR,CARD,FR,COMPLETED
TX000000177,ACC0006658,MER00095,2026-04-22 23:01:56,WITHDRAWAL,3.72,JPY,CARD,JP,COMPLETED
TX000000178,ACC0007441,MER00096,2026-06-12 20:55:59,PURCHASE,6095.84,AED,CARD,AE,COMPLETED
TX000000179,ACC0002319,MER00933,2026-05-09 04:50:03,TRANSFER,7.08,INR,CARD,IN,REVERSED
TX000000180,ACC0005140,MER00684,2026-06-06 22:44:05,PURCHASE,33.26,INR,CARD,IN,COMPLETED
TX000000181,ACC0008132,MER00436,2026-05-01 13:23:45,TRANSFER,112.2,INR,DIRECT_DEBIT,IN,FAILED
TX000000182,ACC0000747,MER00173,2026-03-07 16:53:51,PAYMENT,30.68,CAD,DIGITAL_WALLET,CA,REVERSED
TX000000183,ACC0002176,MER00239,2026-06-29 08:15:10,REFUND,8.3,AUD,CARD,AU,COMPLETED
TX000000184,ACC0006246,MER00440,2026-03-29 13:41:37,PURCHASE,40.48,SGD,DIRECT_DEBIT,SG,PENDING
TX000000185,ACC0001765,MER00540,2026-03-31 09:05:42,PAYMENT,19.79,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000186,ACC0008990,MER00530,2026-04-18 07:40:44,PURCHASE,115.12,SGD,DIRECT_DEBIT,SG,COMPLETED
TX000000187,ACC0010801,MER00384,2025-10-07 08:14:57,REFUND,84.8,INR,CASH,IN,COMPLETED
TX000000188,ACC0001345,MER00646,2025-12-31 23:52:22,PURCHASE,18.34,EUR,CARD,FR,COMPLETED
TX000000189,ACC0001863,MER00835,2025-08-04 17:50:33,PURCHASE,78.08,PKR,CARD,PK,COMPLETED
TX000000190,ACC0008303,MER00297,2026-03-27 05:37:17,TRANSFER,44.63,CAD,BANK_TRANSFER,CA,REVERSED
TX000000191,ACC0009465,MER00808,2025-12-15 11:29:36,PURCHASE,148.93,EUR,CARD,FR,REVERSED
TX000000192,ACC0010168,MER00911,2026-08-10 20:03:21,REFUND,74.51,USD,DIGITAL_WALLET,US,COMPLETED
TX000000193,ACC0001248,MER00625,2026-06-13 08:55:09,PAYMENT,60.44,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000194,ACC0002788,MER00355,2026-03-01 07:52:15,WITHDRAWAL,142.7,AED,CASH,AE,COMPLETED
TX000000195,ACC0001969,MER00221,2026-04-01 23:02:57,PAYMENT,33.68,EUR,CASH,FR,PENDING
TX000000196,ACC0011155,MER00508,2026-07-14 12:39:19,PURCHASE,14.15,EUR,CARD,FR,COMPLETED
TX000000197,ACC0004488,MER00029,2026-08-06 05:49:41,REFUND,41.3,EUR,CARD,FR,FAILED
TX000000198,ACC0010297,MER00430,2026-04-27 16:31:03,PURCHASE,22.4,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000199,ACC0007198,MER00497,2025-09-13 03:54:10,WITHDRAWAL,64.37,AED,BANK_TRANSFER,AE,COMPLETED
TX000000200,ACC0008304,MER00920,2026-02-20 22:08:30,PURCHASE,35.45,EUR,CARD,FR,COMPLETED
TX000000201,ACC0002037,MER00089,2026-04-03 15:27:42,WITHDRAWAL,51.58,JPY,CARD,JP,COMPLETED
TX000000202,ACC0005132,MER00080,2025-11-06 21:32:32,WITHDRAWAL,8.81,EUR,CARD,FR,COMPLETED
TX000000203,ACC0006048,MER00945,2026-07-02 12:53:15,PURCHASE,57.92,EUR,CARD,FR,COMPLETED
TX000000204,ACC0008965,MER00258,2026-06-27 19:47:29,PURCHASE,8.05,GBP,DIGITAL_WALLET,GB,REVERSED
TX000000205,ACC0001428,MER00687,2026-05-23 15:32:15,TRANSFER,95.39,CAD,CARD,CA,FAILED
TX000000206,ACC0001922,MER00312,2026-02-07 15:26:07,PURCHASE,95.54,EUR,BANK_TRANSFER,FR,PENDING
TX000000207,ACC0005727,MER00864,2026-05-07 03:56:24,PURCHASE,48.56,JPY,BANK_TRANSFER,JP,FAILED
TX000000208,ACC0001567,MER00283,2025-10-24 19:11:24,TRANSFER,46.58,EUR,BANK_TRANSFER,FR,PENDING
TX000000209,ACC0004896,MER00079,2026-01-25 00:22:08,PURCHASE,25.89,GBP,CARD,GB,COMPLETED
TX000000210,ACC0006971,MER00918,2025-10-08 20:11:10,WITHDRAWAL,17.06,EUR,CARD,FR,COMPLETED
TX000000211,ACC0001175,MER00645,2025-08-13 02:49:46,TRANSFER,32.57,PKR,DIRECT_DEBIT,PK,COMPLETED
TX000000212,ACC0007979,MER00114,2025-10-19 07:53:21,WITHDRAWAL,293.23,GBP,CASH,GB,COMPLETED
TX000000213,ACC0005650,MER00105,2025-10-16 14:44:43,PURCHASE,42.62,EUR,CARD,FR,FAILED
TX000000214,ACC0011315,MER00668,2025-12-26 03:07:30,PURCHASE,7.54,EUR,DIRECT_DEBIT,FR,COMPLETED
TX000000215,ACC0003485,MER00393,2026-07-29 17:29:47,WITHDRAWAL,5.06,GBP,CARD,GB,FAILED
TX000000216,ACC0006457,MER00437,2025-09-08 12:52:00,PAYMENT,6.81,PKR,DIRECT_DEBIT,PK,COMPLETED
TX000000217,ACC0003953,MER00917,2025-09-23 06:29:15,WITHDRAWAL,21.86,PKR,BANK_TRANSFER,PK,REVERSED
TX000000218,ACC0008862,MER00319,2026-07-30 19:36:46,WITHDRAWAL,133.27,AED,CASH,AE,COMPLETED
TX000000219,ACC0003202,MER00668,2025-08-25 10:24:22,PURCHASE,10.74,EUR,BANK_TRANSFER,FR,COMPLETED
TX000000220,ACC0005108,MER00741,2026-04-22 09:14:23,TRANSFER,158.21,EUR,CARD,FR,COMPLETED
TX000000221,ACC0000359,MER00679,2025-08-03 00:06:10,PURCHASE,40.34,GBP,CARD,GB,COMPLETED
TX000000222,ACC0011686,MER00742,2025-09-06 22:55:11,PURCHASE,56.36,EUR,DIRECT_DEBIT,FR,COMPLETED
